Table 1
Aggregated engagement metrics for your organic and sponsored posts over time. Date indicates when your posts were viewed by LinkedIn members. Data is delayed by up to 2 days. All dates and times are in UTC.,,,,,,,,,,,,,,,,,,,
Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
07/04/2025,8106,116306,124412,4245,370,626,996,72,21,93,0,1,1,0,1,1,0.0545275104860597,0.0065086925867969,0.00963733401922644
07/05/2025,6164,95558,101722,3314,281,548,829,39,18,57,1,2,3,0,0,0,0.0520765736534718,0.00694865945289772,0.00968325435992214
07/06/2025,6051,97994,104045,3300,229,481,710,31,11,42,1,0,1,1,0,1,0.0432986283258965,0.00573504500275527,0.00791965015137681
07/07/2025,5794,120922,126716,3001,194,551,745,32,29,61,0,1,1,0,0,0,0.0390058681394546,0.00556557119465441,0.00709460525900439
07/08/2025,8376,115601,123977,3891,408,513,921,70,31,101,0,0,0,2,0,2,0.0573065902578797,0.00547573117879603,0.00897747162780193
07/09/2025,13048,107210,120258,5850,633,564,1197,181,25,206,5,0,5,3,0,3,0.0629981606376456,0.00617479712713366,0.0123401353756091
07/10/2025,10172,93665,103837,4827,521,439,960,185,27,212,3,0,3,4,1,5,0.070094376720409,0.00609619388245342,0.0123655344434065
07/11/2025,11248,61543,72791,5459,510,351,861,121,3,124,2,0,2,3,0,3,0.0565433854907539,0.00671075508181272,0.0144111222541248
07/12/2025,5196,55185,60381,2604,288,333,621,43,8,51,1,0,1,0,0,0,0.0638953040800616,0.00703089607683247,0.0119242808168132
07/13/2025,4430,59818,64248,2247,207,252,459,23,9,32,0,0,0,0,0,0,0.0519187358916479,0.00491490855595306,0.00815589590337442
07/14/2025,12830,82056,94886,6574,537,384,921,226,13,239,4,0,4,5,0,5,0.0601714731098987,0.00587403724285854,0.013215859030837
07/15/2025,11750,78780,90530,6018,575,343,918,177,8,185,6,0,6,9,0,9,0.0652765957446809,0.00535668951510536,0.0131337678117751
07/16/2025,10954,72170,83124,5447,364,373,737,115,10,125,6,0,6,2,0,2,0.0444586452437466,0.00612442843286684,0.0111760742986382
07/17/2025,11778,65072,76850,6438,418,401,819,96,11,107,3,0,3,0,0,0,0.043895398200034,0.00733034177526432,0.0129342875731945
07/18/2025,5903,53773,59676,3006,221,323,544,30,8,38,0,0,0,2,0,2,0.0428595629341013,0.00673200304985774,0.010305650512769
07/19/2025,3997,40573,44570,2030,181,246,427,22,4,26,1,0,1,0,0,0,0.0510382787090318,0.00712296354718655,0.0110612519632039
07/20/2025,4084,39070,43154,1995,173,223,396,22,5,27,1,0,1,0,1,1,0.0479921645445642,0.00678269772203737,0.0106826713630254
07/21/2025,15374,60216,75590,7903,434,422,856,201,10,211,10,0,10,7,1,8,0.0424092623910498,0.00805433771755015,0.0150416721788596
07/22/2025,12751,36237,48988,6691,385,311,696,135,4,139,4,0,4,4,0,4,0.0414085169790605,0.00957584789027789,0.0178615171062301
07/23/2025,18414,20360,38774,9448,541,149,690,240,4,244,0,0,0,0,0,0,0.0424133811230585,0.00859528487229863,0.0246556971166245
07/24/2025,15195,8079,23274,7495,1446,93,1539,140,5,145,2,0,2,2,0,2,0.104639684106614,0.0164624334694888,0.0740311076737991
07/25/2025,7983,8621,16604,4078,702,98,800,41,2,43,9,0,9,0,0,0,0.0942001753726669,0.0146154738429417,0.0528788243796676
07/26/2025,4665,6034,10699,2369,309,97,406,27,1,28,0,0,0,0,0,0,0.0720257234726688,0.0198873052701359,0.0426208056827741
07/27/2025,3951,4597,8548,2001,253,71,324,19,3,22,0,0,0,2,0,2,0.0693495317641104,0.0193604524690015,0.0424660739354235
07/28/2025,15520,7394,22914,7368,1117,84,1201,170,4,174,6,0,6,9,0,9,0.0838917525773196,0.0166351095482824,0.0621890547263682
07/29/2025,15144,7290,22434,6623,1003,90,1093,169,5,174,13,0,13,2,0,2,0.0783808769149498,0.0156378600823045,0.0579923330658821
07/30/2025,20050,6723,26773,7693,1370,111,1481,294,2,296,5,0,5,2,0,2,0.0833416458852868,0.0214190093708166,0.0677921786874837
07/31/2025,16026,6477,22503,7836,1423,89,1512,216,6,222,8,0,8,4,0,4,0.103020092349931,0.0197622356029026,0.0790561258498867
08/01/2025,12297,6500,18797,5471,837,90,927,135,0,135,4,0,4,3,0,3,0.0796129137187932,0.0184615384615385,0.0584667766132894
08/02/2025,6438,4597,11035,3322,395,46,441,79,3,82,3,0,3,1,0,1,0.074246660453557,0.0141396562975854,0.0492070684186679
08/03/2025,4641,4627,9268,2546,266,63,329,37,3,40,0,0,0,0,0,0,0.0652876535229476,0.0203155392262805,0.0428355632283125
08/04/2025,11497,48344,59841,5569,709,366,1075,137,3,140,0,0,0,1,0,1,0.0736713925371836,0.00879116332947212,0.0212563292725723
08/05/2025,9263,41399,50662,4242,726,326,1052,138,1,139,1,0,1,2,0,2,0.0935981863327216,0.00838184497210078,0.0239627334096562
08/06/2025,15301,46396,61697,6437,1116,431,1547,350,1,351,13,0,13,4,0,4,0.0969217698189661,0.00967755841020778,0.0313143264664408
08/07/2025,10553,37025,47578,5485,596,293,889,164,3,167,4,0,4,4,0,4,0.0727755140718279,0.00853477380148548,0.0227836394972466
08/08/2025,2389,36288,38677,1322,255,324,579,84,0,84,3,0,3,1,0,1,0.143574717455002,0.00931437389770723,0.0176073635493963
08/09/2025,5054,34391,39445,2714,327,274,601,44,1,45,0,0,0,1,0,1,0.073605065294816,0.0084905934692216,0.0168335657244264
08/10/2025,4581,35830,40411,2438,263,266,529,41,1,42,1,0,1,0,0,0,0.0665793494870116,0.00837287189506001,0.0149711712157581
08/11/2025,9401,41961,51362,4580,449,381,830,88,5,93,0,0,0,1,0,1,0.0572279544729284,0.0100331259979505,0.0186713913009618
08/12/2025,7959,46182,54141,3978,345,432,777,66,4,70,1,0,1,1,0,1,0.0518909410729991,0.0116062535186869,0.017528305720249
08/13/2025,13970,48016,61986,5906,963,381,1344,129,5,134,5,0,5,5,0,5,0.0788833214030064,0.0102674108630457,0.0257316168167005
08/14/2025,9770,48696,58466,4865,935,388,1323,102,9,111,7,0,7,3,0,3,0.107164790174002,0.00987760801708559,0.0261348476037355
08/15/2025,5904,43116,49020,2829,398,293,691,58,11,69,1,0,1,0,0,0,0.0774051490514905,0.00937007143519807,0.0175642594859241
08/16/2025,4880,40136,45016,2273,342,340,682,41,6,47,1,0,1,0,0,0,0.0786885245901639,0.0115606936416185,0.0188377465789941
08/17/2025,5025,42559,47584,2396,384,312,696,36,5,41,2,0,2,1,0,1,0.0841791044776119,0.00989214972156301,0.0177370544720915
08/18/2025,8481,48993,57474,3747,613,373,986,105,5,110,6,0,6,2,0,2,0.0856031128404669,0.0105729389912845,0.0216445697184814
08/19/2025,8253,55413,63666,3575,498,430,928,94,9,103,5,0,5,1,0,1,0.072458499939416,0.0103766264234025,0.0184242766939968
08/20/2025,10394,51931,62325,4402,615,390,1005,130,11,141,2,1,3,3,0,3,0.0721570136617279,0.00974369836898962,0.0201524267950261
08/21/2025,8275,50269,58544,3965,451,468,919,85,9,94,2,0,2,1,0,1,0.0651359516616314,0.0113986751278124,0.0189942607269746
08/22/2025,8330,54958,63288,3515,359,486,845,64,5,69,4,0,4,1,0,1,0.0513805522208884,0.0104443393136577,0.0158323852863102
08/23/2025,6017,40690,46707,2701,391,270,661,40,9,49,0,0,0,1,0,1,0.0717965763669603,0.00855246989432293,0.0166998522705376
08/24/2025,4164,42037,46201,2030,348,234,582,31,6,37,1,0,1,0,0,0,0.0912584053794428,0.00735066726931037,0.01491309711911
08/25/2025,11182,56023,67205,5018,796,390,1186,119,11,130,2,0,2,1,0,1,0.0820962260776247,0.00879995716045196,0.0209954616471989
08/26/2025,13037,66853,79890,5675,759,499,1258,130,10,140,0,0,0,0,0,0,0.0681905346322007,0.00943861905972806,0.0190261609713356
08/27/2025,11282,79776,91058,4975,515,507,1022,102,10,112,2,1,3,0,0,0,0.0548661584825386,0.00784697152025672,0.0136726042741989
08/28/2025,14283,62866,77149,5668,768,399,1167,151,5,156,0,0,0,3,0,3,0.0645522649303368,0.00811249323958897,0.0185614849187935
08/29/2025,23735,57139,80874,10452,1367,354,1721,304,11,315,16,0,16,4,0,4,0.0712449968401095,0.0075255079717881,0.0262259811558721
08/30/2025,11274,56783,68057,5587,728,292,1020,108,5,113,2,0,2,0,0,0,0.0743303175447933,0.00621664934927707,0.0175000367339142
08/31/2025,6137,67862,73999,3182,381,285,666,56,6,62,6,0,6,1,0,1,0.072348052794525,0.00517226135392414,0.0107433884241679
